passage	question	qus_type	answer
车主遇碰瓷直接开进警局 “碰瓷”者跳车双双被抓原标题：驾车遇碰瓷 直接开进派出所发现与自己撞车的骑自行车男子像是“碰瓷”的，西安一车主直接将车开进了派出所，两名“碰瓷”男子发现不妙，紧急跳车意图逃跑，结果都被抓了回来。超车时遭遇“碰瓷”俩司机被讹5万余元去年11月9日下午3时，云先生开车经过曲江公馆一带，前方一辆路虎开得很慢，云先生被迫超车。此时，他听到车外有撞击声，从后视镜发现有个骑自行车的男子倒在地上，他赶紧下车查看。很快，跑来一人称是男子工友，让赶紧送医院。在医院拍片时，又来了两个自称是伤者姐夫和工友的男子。医生看了片子，说伤者左肩有骨头破碎，需要手术。伤者的姐夫将云先生叫到一边提出私了，经协商，云先生一次性给了伤者2.7万元。次日，市民郝先生驾车在莲湖区也遇到了相同一幕，赔偿了3万元。司机将车开进派出所“碰瓷”者跳车双双被抓回也有车主发现疑点，并没有选择私了。去年11月14日，张先生在曲江超车时，看到了一辆带着人的自行车，快到他跟前时对方把车推向他就跳车了。送“伤者”去医院的路上，对方多次要求私了被他拒绝。张先生感觉像是碰瓷的，就往公安雁塔分局曲江派出所开，发现对方想跳车，他直接把车开到了派出所院子里，在院门口一个男子跳车，进院子后另一个也跳车，结果都被民警抓了回来。据侦查机关调查，这是一个分工明确、组织结构形成较为稳定、有组织地进行违法犯罪活动的团伙。其中，29岁的广东男子熊某纠集多人合谋“碰瓷”，由熊某组织安排，重庆男子李某、湖南男子雷某配合使用自行车“碰瓷”，广东男子巫某假扮伤者亲属，制造撞车诈骗对方车主钱财，诈骗所得赃款统一由熊某分配。这4人除熊某外，均是90后，最小的李某22岁，5年前因诈骗罪被福建省石狮市法院判处拘役3个月，去年同样因诈骗罪被西安市阎良区法院判处有期徒刑9个月，同年11月5日才刑满释放。再次参与作案时，距离李某获释仅4天时间。“伤者”称被迷晕后打断胳膊自称共分得500元熊某供述，他是11月8日开着朋友的路虎车，拉着同伙来西安的。第二天诈骗云先生时，他故意放低车速，在后车超车时，李某就骑自行车载着雷某向后车撞去……“要来的钱大家一起吃喝玩乐。”他说，雷某的胳膊是去年11月初在广东英德市一家小旅馆被弄断的，一个叫“黑仔”的朋友找人弄断雷某胳膊后，以2000元介绍给他用来“碰瓷”。雷某称，去年11月初，他在广东丢了身份证，露宿街头，遇到了一个男子询问他是否有兴趣“碰瓷”，他就同意了。11月6日他被迷晕，醒来时左胳膊就已经被弄断了，在西安敲诈时他没有再受伤。首次骗来的2.7万元，只给他分了500元，第二次没给他分钱。李某则称，他每次都是选择有违法行驶的车去撞，“那样司机理亏，轻易不会叫交警。”近日，西安市雁塔检察院以涉嫌诈骗罪对4名犯罪嫌疑人提起公诉。 华商报记者 宁军 责任编辑：余鹏飞	熊某的什么行为是可恶的？	11	碰瓷。
大连长兴100只斑海豹幼崽遭盗猎 已有37只死亡原标题：大连长兴100只斑海豹幼崽遭盗猎 已有37只死亡据央视新闻客户端消息 来自环保公益组织中国生物多样保护与绿色发展基金会的消息，2019年春节期间，大连长兴100头斑海豹幼崽在辽东湾北部自然繁殖区被陆续偷走。2月11日，有群众举报在瓦房店老虎屯镇一处养殖场内发现大量斑海豹幼崽，长兴岛公安民警接警后在瓦房店老虎屯查获100头被偷盗藏匿于此的斑海豹，被发现时已有29头斑海豹幼崽受惊而死。据举报志愿者介绍，后来又有8只死亡，目前已有共计37只斑海豹幼崽死亡。 图片来自央视新闻客户端生物多样性保护专家介绍：斑海豹每年的1~3月份繁殖，产仔在浮冰上，孕期约10个月，繁殖期多成对，多为1仔。据了解，辽东湾斑海豹约有2000只。斑海豹是国家二级保护动物，是唯一能在中国海域繁殖的鳍足类动物。在全球，共有8个斑海豹繁殖区， 渤海辽东湾结冰区是8个繁殖区中最南端的一个。斑海豹每年11月份以后穿越渤海海峡，陆续进入渤海的辽东湾，在冰区进行繁殖，次年二三月份随流水从辽东湾北部向南漂移，5月离开渤海。据了解，因被捕猎时受到惊吓，被藏匿时未得到母乳喂养，被救护的斑海豹幼崽身体非常虚弱，免疫力极差，目前还有63头幼崽被救助喂养，但喂养过程中仍需药物的配合治疗。 斑海豹断奶期很长——看护者必须至少花一整年的时间才能使任何一只幼崽适应。记者从大连市公安局长兴岛分局了解到，目前抓获多名涉案嫌疑人，涉案嫌疑人为长兴岛当地居民，他们多次偷偷驾船往返于斑海豹自然繁殖区内偷盗刚出生的斑海豹幼崽。盗猎事件具体发生在什么时候尚不了解，长兴岛分局对此案正在做进一步侦破。 图片来自央视新闻客户端责任编辑：吴金明	文中当地居民的什么行为是可耻可恨的？	11	多次偷盗斑海豹幼崽。
硬闯公路收费站逃避缴费 9名货车司机均被判刑原标题：硬闯公路收费站逃避缴费 9名货车司机均被判刑中新网宜兴10月20日电 （孙权 何逸）为逃避缴费，9名“大胆”的货车司机竟采取了硬闯公路收费站的方式“省钱”，孰料“法网恢恢，疏而不漏”，这伙货车司机最终还是被警方全部抓获。记者20日从宜兴市人民法院（下简称“宜兴法院”）获悉，该院日前公开审理了这起公路收费站逃费案件，9名货车司机因犯抢夺罪，被依法判处6个月至10个月不等的有期徒刑。张某是一名货车司机，通过货车司机微信群结识了曹某（另案处理）。交流中，曹某称自己很熟悉104国道宜兴收费站（下简称“宜兴收费站”），只需要少许费用就可以帮司机们望风以便他们冲关逃费。考虑到逃费可以节省过路费，降低运输成本，张某便和曹某达成了交易。2019年4月18日至5月16日期间，张某、谢某等9名货车司机时分时合，分别驾驶大型货运汽车，在到达宜兴收费站前，事先与在收费站附近的望风者曹某取得联系，在对方告知收费站没有交警或路政稽查人员的情况下，采用遮挡号牌、冲撞栏杆等方式强行冲过收费站，从而逃避缴费，事后用微信转账的方式支付给曹某好处费。其中，谢某先后10次强行通过宜兴收费站，共逃费5068元。其余8人分别冲卡4到10次，逃费金额1100元至4745元不等。宜兴法院法官经审理认为，张某等9名被告人以非法占有为目的，伙同他人，时分时合，多次采用遮挡号牌、冲撞栏杆等方式强行冲过宜兴收费站，从而逃避缴费，数额较大，其行为均已构成抢夺罪，均应予惩处。根据上述被告人的犯罪情节和认罪态度，宜兴法院分别判处张某等9名被告人有期徒刑6个月至10个月不等，并处罚金2000元至3000元，同时责令他们退赔赃款，上缴国库。“被告人通过在宜兴收费站附近的望风人员得知收费站无交警、路政缉查人员后，通过遮挡车牌号码，强行冲撞交通栏杆等方式，逃避缴纳过路费，从形式上看与飞车抢夺的犯罪形式有区别，但从实质分析，被告人采用暴力闯关，达到逃费的目的，使应收费用遭损，符合抢夺罪的构成要件。”办案法官称，根据9名被告人的犯罪次数、金额，结合自首、如实供述等情节，法院作出了上述判决。（完）责任编辑：吴金明	文中出现的逃避收费的行为是谁做的？	22	9名货车司机。
广州一医院被曝针头重复使用 一根针头扎两三人视频加载中，请稍候...广州一医院被爆针头重复使用向前向后poster: '', //视频加载前欲加载的图片地址，即播放器一开始显示的截图title:'广州一医院被爆针头重复使用'//,//显示小图});});原标题：广州一医院被爆针头重复使用，一根针头给两三个人采血广东公共频道DV现场4月28日消息，平时我们都免不了小病小痛，去医院看病的时候，医生就会说抽个血，检查一下有没有问题。家住广州天河的陈女士前几天带孩子去医院看病验血的时候，居然发现医院的工作人员，有重复使用针头的情况，谁这么胆大包天？不怕传播疾病吗？4月11日早上八点半，陈小姐带儿子西西，去广州天河区人民医院车陂门诊部看病。由于西西腹部不适，医生要求孩子去二楼检验科抽血检测。在儿子抽血之后，她听到一段让她后怕不已的对话。“女医生很大声问他，到底有没有换针头，男医生马上离开”。男医生却说“这个应该没有什么，就扎两三个而已”医生正常给小孩抽血后未更换针头。 本文图片均来自微信公众号“广东公共频道DV现场”听到这个对话，陈小姐大吃一惊。据悉，医生没有换针头是排在西西身后的吴女士先发现的。据吴女士说，当时涉事医生先扎了排在西西前面的人，29岁的患者小周，然后用扎过小周的针再给西西采血。据吴女士所说，男医生还准备用西西用过的针再给自己孩子采血。发现医生错误举动的吴女士。听到这番话，陈小姐当时就慌了，随即要求医院采取措施，再抽一次血进行检验。大约40分钟后，院方再次采集了小周和西西的血，并送到广州市的检验中心。当陈小姐试图向院方给个说法时，院方一直要她等。最后在陈小姐的要求下，院方才写下事情经过，并盖上医院公章。记者在说明上看到，当班检验医生扎手指时操作失误未换针头。在“未换针头”和落款处有两个医院的公章。院方给出的事发过程说明。随后，记者从天河区卫生和计划生育局的副局长了解到，目前涉事的检查科男医生已经离职，暂时不知去向。院方称，该医生是有检验资质的检验师，但是无法提供男子的相关资料。对于当时的情况，院方一直说的含混不清。目前，经广州市的检验中心检验，西西暂未因共用针头感染疾病，但是陈小姐希望医院能在三年内都追踪体检，保障小朋友的健康。目前，天河区卫生和计划生育局已经介入调查。	文中检验医生什么行为导致被调查？	32	重复使用针头。
日本24岁女子杀女后逛夜店:有孩子就不能出去玩了原标题：为方便逛夜店东京一母亲毒杀亲子[环球时报综合报道]据日本雅虎新闻网20日报道，24岁东京女子田畑幸香涉嫌去年12月在家用毒奶杀害刚出生两个月的女儿，虽然她一口咬定自己无罪，但东京警方已确认她就是犯罪嫌疑人。警方的最新调查显示，田畑曾在自己的社交网络上发表“孩子非常碍事”“有了孩子就不能出去玩了”等言论。警方通过浏览她的社交软件发现，她在毒杀女儿当天还和朋友相约去夜店。警方透露，毒杀孩子的药物来自田畑母亲平时服用的处方药。田畑未婚先孕，生下孩子后，情人就抛弃了她，尽管育儿压力大，但这都不是她杀害亲子的理由。该案将于10月31日做出判决。此事被曝光后，在社交媒体引起反响，除了斥责残忍的田畑外，更多的是对日本年轻人的担忧：既然养育了孩子，就应该负责任。（艾文）责任编辑：张义凌	文中女子因为什么心态做出了糟糕的行为？	32	因为她认为有孩子不能出去玩了。
★主要事迹2002年，23岁的贵州姑娘饶小亚嫁到芦溪县的小山村里。2004年7月，饶小亚的婆婆因突患脑出血导致半身不遂，她日夜守护在婆婆病床边，像女儿一样无微不至地照顾婆婆。因为婆婆晕车，饶小亚每次都背着婆婆翻山越岭，徒步走到医院复诊，来回一趟就是十几公里。祸不单行。在煤矿打工的丈夫被坍塌的煤块打中脊背，腰部以下失去知觉，失去了自理能力。从此，饶小亚既要照顾婆婆和孩子，又要照料瘫痪的丈夫。丈夫于心不忍，几次劝她另寻幸福，但立即被饶小亚拒绝了，她坚定地说：“只要我活着一天，就会照顾你一天。”2008年7月，饶小亚带着丈夫和东拼西凑的6万元到北京武警总医院接受手术，手术很成功，术后一个月内丈夫便可以坐在椅子上了。回到家后，饶小亚每天都陪着丈夫进行艰难的康复训练，为他按摩双腿上千次，并坚持用热水为丈夫泡脚。渐渐地，丈夫腰部以下有了知觉，腿脚也能慢慢活动了。饶小亚将丈夫的情况告诉了北京的主治医生，医生连称这是个奇迹，并嘱咐她尽快带丈夫到北京复诊，让他重新站起来。这些年，为了给婆婆和丈夫治病，家里已经负债累累，生活的重担和沉重的债务几乎压得人喘不过气来。可饶小亚从没有放弃，她一边照顾婆婆和丈夫，一边在家附近打零工。坚强而乐观的饶小亚相信，只要坚持不放弃，丈夫终有一天能脱离轮椅，婆婆也能丢掉拐杖，全家人一定会迎来幸福快乐的生活。（江西省萍乡市文明办供稿）一位年轻的外地媳妇，在婆婆和丈夫双双卧床的情况下，不离不弃、执着坚守，用羸弱的双肩挑起一家五口的重担，为这个不幸家庭撑起一方无雨的晴空。◆致敬词◎小传饶小亚饶小亚，1979年生，江西省萍乡市芦溪县人。照料卧床婆婆，守护瘫痪丈夫，柔弱女子双肩担道义。	谁的行为是道德的？	21	饶小亚。
ZHONGGUOHAORENZHUAN下册2016年卷程道德曾为北京大学法学院教授，工作之余痴心于古迹文物收藏研究，曾任北京收藏家协会书画专业委员会主任、文物鉴定专家团成员。自1999年来，他搜集、整理和研究四大系列：中国近现代文化名人墨迹、清代科举文化文书及中国近现代高等教育各类文物，收集名人墨迹和手札等20余年，不少文物连国家博物馆都无馆藏。程道德离开休宁50多年，心中桑梓情深，一直惦记着回报故土。为此，他对徽州10年“三诺”，件件兑现，带给人道德的感动和力量，比千金还要珍贵。“一诺”：促成一座博物馆。2005年的一天，他在休宁籍在京人士恳谈会上承诺将捐出收藏的科举文物，帮助休宁县修建“状元博物馆”。他这“一诺”，契合了2005年休宁县文化建设的思路，最终促成“休宁状元博物馆”顺利建成，并使之成为状元古县的文化地标，成为展示徽州文化和状元文化的窗口。他捐赠的“光绪年间休宁状元黄思永的殿试卷”则成为这座博物馆的镇馆之宝。“二诺”：建成一座“道德馆”。状元博物馆后，程道德再次作出庄严承诺，将把自己几十年节衣缩食、四处搜寻来的200多件科举文化文物都捐给家乡，在状元博物馆内形成一个专题类的展厅“清代科举文化馆”。如今，在状元博物馆东区的位置，一座充溢着书香古朴雅致的小楼就是由他捐赠的文物促成的“道德馆”。“三诺”：带来一次特别的展览。2015年，程道德承诺，要回家乡举办一次重大展览。家乡的父老乡亲当年就观赏到了老人35年呕心沥血收藏的瑰宝之作“学人风范—中国近现代大学校长遗墨展”。从严复到蔡元培，从胡适到马寅初，从季羡林到冯友兰……收藏囊括了20世纪上半叶百余所中国高校200余名校长之翰墨！（安徽省文明办供稿）◎程道德程道德，1935年生，安徽省黄山市休宁县人，北京文物鉴定专家团成员。他10年“三诺”，将毕生收藏的科举文物无偿捐献给家乡，举办了一场专题展览，助力徽文化发扬光大。	谁的行为是正面的	21	程道德
英国母亲密谋杀害6子致2死4伤 称杀人就像吃薯片原标题：震惊！英国母亲密谋杀害6子致2死4伤 声称杀人就像吃薯片英国母亲残忍弑杀二子 声称杀人就像吃薯片会过瘾。（图源：《每日邮报》）海外网11月4日电 英国谢菲尔德发生的一起震惊世界的惨剧，一位母亲协同伴侣密谋杀害其6个孩子，最终致2名十几岁的儿子死亡，另外4个孩子受到不同程度的伤害。如今，涉案母亲及其伴侣均认罪，面临终生监禁。报道称，事发于5月24日上午，特里斯坦和布莱克当时因“病”被送往医院，两兄弟相隔12分钟在医院死亡。此后，有人拨打了警方电话，警察来到二人位于谢菲尔德的住宅，发现另外四个孩子也受伤，他们的年龄分别为11岁、10岁、3岁和7个月，四个孩子随后被送医，所幸都没有生命危险。萨拉的兄弟马丁·巴拉斯（Martyn Barrass）事后接受媒体采访表示，事实上，他在十年前早已警告过社区服务组织，由于受到“生来邪恶的杀人狂魔”的威胁，他的侄儿们时刻身处危险之中。马丁称，早在布莱克还在蹒跚学步时，他就亲眼目睹布兰登对孩子施暴，当时他三度通知过社区服务组织，不过社区服务组织均为重视。马丁认为，如果社会服务组织在接到多重预警时能够立即采取有效措施，或许能够避免这起惨案。马丁还说，萨拉和布兰登二人常以杀害宠物老鼠取乐，他们经常一起看恐怖电影，并沉迷于如弗雷迪·克鲁格（ Freddy Krueger）等残忍杀手的故事。就在萨拉犯下滔天罪行的十个月前，她曾于自己的社交媒体脸书（Facebook）账户上发布了有关谋杀的帖子，“杀人就像吃薯片一样，你永远不会在第一口就满足。”令人不寒而栗。在谢菲尔德刑事法庭上，萨拉和布兰登对于杀害特里斯坦和布莱克的恶行供认不讳。法官杰里米·理查森（Jeremy Richardson）表示，二人罪大恶极，谋杀罪行昭然若揭，他们无疑将被判处终身监禁。据悉，此案将于11月12日宣布判决。在法律诉讼程序完成之后，谢菲尔德城市委员会和儿童保护委员会将联合发起对本案的进一步回顾调查。（海外网/姚凯红 实习编译/胡晓琳）责任编辑：张玉	文中的残忍的事都是谁做的	22	萨拉和布兰登
的哥遇害案 “一键报警”背后有多少致命细节？原标题：马上评|的哥遇害案，“一键报警”背后有多少致命细节？2018年8月1日，湖南的哥邹向科遇到伪装成女性乘车的劫匪向某。邹向科两次启动车载一键报警系统，但最后仍被残忍的歹徒所害。出租车公司的“处警”方式是否妥当，GPS一键报警在营运过程中存在哪些安全隐患等问题，引发了很大争议。 对围观者来说，如果梳理下的哥遇害的细节，唏嘘之外还有愤怒——不太严谨地说，出租车公司对一键报警的操作应对不当，间接害死了的哥。 当晚1点04分，被劫持的邹向科启动一键报警系统，却一直无人响应。一键报警系统虚置，不能第一时间接应险情，这是第一处过失；1点46分，邹向科再次启动报警，出租车公司将警情推送给祁东县公安部门时，将“青山凹”说成“青山”。如此低级口误，直接延误了救援时机，这是第二处失误。 最匪夷所思的，是第二次报警后，出租车后台安全人员的“神操作”：在拿到的哥电话号码后，不采取其他紧急措施，而是直接打回去。的哥没有接电话，多疑的劫匪却让他回拨。于是，在的哥和安全员之间，就有了这样的对话——“你在哪里？为什么要触动车内的报警？”“我现在是在接客，刚才是不小心碰到的。”“你要小心一点。”我们无法想象，当时的的哥，是在怎样恐惧与绝望的心态下说出这句“报平安”的话的。 第一次启动报警无人接应，但后台不可能没有记录。两次触发报警系统，用常识都能判断的哥大概率处于危险之中，而不是遇到找零、醉酒等鸡毛蒜皮的纠纷。在这样的前提下，直接拨打的哥电话，并用低级的话术追问境况，等于将他置于更大的危险之中。事实上，从事后对嫌犯的采访看，这个拨过去的电话，是其起杀心的关键。 一个专门处理警情的安全员，却没有基本的安全素养，说到底还是心态懈怠，笃定小概率的劫持事件不会发生，这是第三处过失。对此，出租车公司难辞其咎。 值得一提的是，的哥死亡的细节还不只上述三处过失。当地出租车官方人员回应称，“出租车安装一键报警系统更多的作用在于震慑犯罪分子”，这种对一键报警震慑而非救急的功能定位，本身就是极大的偏差。它背后的致命症结是，出租车报警系统与警方的报警系统至今都没有打通，所以在的哥触发报警系统后，接应的只是没有经过专业训练的出租车公司安全员，而非警察。 这些过失可以说环环相扣，它充分印证了“海恩法则”——每一次严重事故背后，都有无数次的细节隐患。换个角度来看，任何一个环节，如果能够妥善应对，的哥的命可能就不会丢。 颇为讽刺的是，在接受采访时，出租车公司反而在强调，被害司机属于出租车承包人私自聘请的“副班”。日常运营时不管，出事后却试图切割，这种甩锅的态度让人失望，更让人气愤。 按说，出租车的一键报警系统，设置时间早，技术门槛也低，没想到真正遇险时，运转起来却如此低效。此次的哥遇害，充分暴露了出租车作为传统行业，在风险管理和安全保障上落后的一面。值得一提的是，半年前的网约车安全大讨论中，凶案数量更高的出租车行业成为被忽视的地带。与很多地方的网约车快速完成了一键报警系统建设相对应的是，出租车行业的一键报警至今都未能和110打通，这是的哥遇害的更大背景。 比起几次网约车凶案来，此次的哥遇害案件，注定很难掀起前者那样的波澜。但哪怕没有舆论压力，出租车行业的安全管理，同样要提升到新的高度，至少一键报警平台的联网工作要尽快落地。的哥两次触发一键报警都没能换回一条生命的悲剧，绝不能再发生。责任编辑：王亚南	一键报警的三处过失造成了什么样的后果？	33	导致了的哥最终遇害
2015年卷1984年初春，时任西充县太平镇13村妇女主任、赤脚医生兼财务大队长的赵凤林被聘为太平镇敬老院院长，那年她42岁。1991年，赵凤林回家取保健箱给生病的老人输液，由于儿媳没能留住母亲吃午饭被儿子误解，小两口发生口角，儿媳一气之下喝下农药撒手人寰。儿子也丢下一双年仅两三岁的儿女远走他乡，20余年杳无音讯。赵凤林一边照顾敬老院的老人们，一边将孙儿孙女抚养成人。很长一段时间，她一个人伺候着50多位老人。每天六点起床，倒10多个便桶，整理20多床被子，挑10多箩猪草，背10来捆柴草，还要为老人做饭、洗衣，为瘫痪的老人擦洗按摩。当一位老人去世后，由于木楼梯太窄，遗体无法搬运，大家提议用绳子拴住老人的腰吊下楼，赵凤林坚决不同意，她说：“我不能让老人死了还受这份罪，我来背！”赵凤林还常把社会上丧失劳动能力的人像宝贝一样收到敬老院，仅疯子就收养了近10人，人们亲切地叫她“养疯专业户”。到敬老院之初，老人们吃不饱饭，看不起病，穿不起新衣，连做饭的柴草都没有。为了节约钱，她借来缝纫机给老人做衣服，自己动手给老人理发。为了让老人吃顿饱饭，她带着能干活的老人挨家挨户给人帮工。老院搬新家以后，赵凤林把附近撂荒的20多亩土地利用起来，办起了种养殖场，她带头劳动，并根据五保老人的身体状况和特长，把他们编成种植组、养殖组、服务组、卫生组、创收组、帮扶组。赵凤林刚接手时，敬老院一贫如洗。而如今，年收入20余万元，结余资金70余万元。2015年，已73岁高龄的她依然坚守在敬老爱老的岗位上，她说：“只要我还有一丝气力，就要继续做更多老人的女儿。”她荣获全国“巾帼建功标兵”、全国“三八红旗手”、四川省“优秀共产党员”、“第四届四川省道德模范”等称号。（四川省文明办供稿）赵凤林将青春奉献给敬老爱老事业，以实际行动践行着自己的誓言，用几十年的辛勤付出诠释了对党的无限忠诚！致敬词小传：赵凤林，1942年生，四川省南充市人，西充县太平镇敬老院院长。30余年来，先后照顾162位老人，亲自为93位老人送终。	如何评价赵凤林？	43	敬老爱老。
